Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,College/Univ,,-9999
2,42,MIA,Liam Eichenberg,OL,23,2023,0,0,2,12,12,29,0,0,0,0,0,0,0,0,0,0,0,,,,Notre Dame,College Stats,EichLi00
2,43,LVR,Tre'von Moehrig,S,22,2023,0,0,2,9,9,35,0,0,0,0,0,0,0,0,0,0,0,85,1,,TCU,College Stats,MoehTr00
2,44,DAL,Kelvin Joseph,DB,20,2023,0,0,0,2,2,28,0,0,0,0,0,0,0,0,0,0,0,31,,,Kentucky,College Stats,JoseKe02
2,45,JAX,Walker Little,T,22,2023,0,0,0,4,4,29,0,0,0,0,0,0,0,0,0,0,0,,,,Stanford,College Stats,LittWa00
2,46,CIN,Jackson Carman,T,21,2022,0,0,0,4,4,20,0,0,0,0,0,0,0,0,0,0,0,,,,Clemson,College Stats,CarmJa00
2,47,LAC,Asante Samuel Jr.,DB,21,2023,0,0,2,8,8,32,0,0,0,0,0,0,0,0,0,0,0,93,4,,Florida St.,College Stats,SamuAs00
2,48,SFO,Aaron Banks,OL,24,2023,0,0,1,8,8,28,0,0,0,0,0,0,0,0,0,0,0,,,,Notre Dame,College Stats,BankAa00
2,49,ARI,Rondale Moore,WR,21,2023,0,0,0,8,8,25,0,0,0,0,0,29,137,1,103,904,2,1,,,Purdue,College Stats,MoorRo02
2,50,NYG,Azeez Ojulari,OLB,21,2023,0,0,1,10,10,25,0,0,0,0,0,0,0,0,0,0,0,38,,13.5,Georgia,College Stats,OjulAz00
2,51,WAS,Samuel Cosmi,OL,22,2023,0,0,0,7,7,26,0,0,0,0,0,0,0,0,0,0,0,,,,Texas,College Stats,CosmSa00
2,52,CLE,Jeremiah Owusu-Koramoah,LB,21,2023,0,0,1,8,8,28,0,0,0,0,0,0,0,0,0,0,0,104,,1.5,Notre Dame,College Stats,OwusJe00
2,53,TEN,Dillon Radunz,T,23,2023,0,0,0,3,3,25,0,0,0,0,0,0,0,0,0,0,0,1,,,North Dakota St.,,RaduDi00
2,54,IND,Dayo Odeyingbo,DL,21,2023,0,0,0,4,4,30,0,0,0,0,0,0,0,0,0,0,0,24,,5.5,Vanderbilt,College Stats,OdeyDa00
2,55,PIT,Pat Freiermuth,TE,22,2023,0,0,0,10,10,35,0,0,0,0,0,0,0,0,128,1275,11,2,,,Penn St.,College Stats,FreiPa00
2,56,SEA,D'Wayne Eskridge,WR,24,2022,0,0,0,2,2,20,0,0,0,0,0,6,69,0,17,122,1,1,,,Western Michigan,College Stats,EskrDW00
2,57,LAR,Tutu Atwell,WR,21,2023,0,0,0,3,3,24,0,0,0,0,0,11,61,1,35,544,2,,,,Louisville,College Stats,AtweTu00
2,58,KAN,Nick Bolton,LB,21,2023,0,0,2,13,13,35,0,0,0,0,0,0,0,0,0,0,0,187,2,2.0,Missouri,College Stats,BoltNi00
2,59,CAR,Terrace Marshall Jr.,WR,21,2023,0,0,1,5,5,30,0,0,0,0,0,0,0,0,52,686,1,1,,,LSU,College Stats,MarsTe00
2,60,NOR,Pete Werner,LB,22,2023,0,0,1,10,10,30,0,0,0,0,0,0,0,0,0,0,0,105,,0.5,Ohio St.,College Stats,WernPe00
2,61,BUF,Boogie Basham,DL,23,2023,0,0,0,3,3,26,0,0,0,0,0,0,0,0,0,0,0,22,1,4.5,Wake Forest,College Stats,BashCa00
2,62,GNB,Josh Myers,C,23,2023,0,0,1,12,12,27,0,0,0,0,0,0,0,0,0,0,0,,,,Ohio St.,College Stats,MyerJo00
2,63,KAN,Creed Humphrey,OL,22,2023,0,1,2,22,22,37,0,0,0,0,0,0,0,0,0,0,0,1,,,Oklahoma,College Stats,HumpCr00
2,64,TAM,Kyle Trask,QB,23,2022,0,0,0,0,0,1,3,9,23,0,0,0,0,0,0,0,0,,,,Florida,College Stats,TrasKy00
3,65,JAX,Andre Cisco,DB,21,2023,0,0,1,8,8,35,0,0,0,0,0,0,0,0,0,0,0,80,4,1.0,Syracuse,College Stats,CiscAn00
3,66,MIN,Kellen Mond,QB,22,2021,0,0,0,0,0,1,2,3,5,0,0,0,0,0,0,0,0,,,,Texas A&M,College Stats,MondKe00
3,67,HOU,Davis Mills,QB,22,2022,0,0,2,14,14,28,555,873,5782,33,25,50,152,2,0,0,0,2,,,Stanford,College Stats,MillDa02
3,68,ATL,Jalen Mayfield,OL,21,2021,0,0,1,7,7,16,0,0,0,0,0,0,0,0,0,0,0,,,,Michigan,College Stats,MayfJa00
3,69,CIN,Joseph Ossai,LB,21,2023,0,0,0,3,3,17,0,0,0,0,0,0,0,0,0,0,0,6,,3.5,Texas,College Stats,OssaJo00
3,70,CAR,Brady Christensen,OL,24,2023,0,0,1,10,10,34,0,0,0,0,0,0,0,0,0,0,0,1,,,BYU,College Stats,ChriBr00
3,71,NYG,Aaron Robinson,DB,23,2022,0,0,0,2,2,11,0,0,0,0,0,0,0,0,0,0,0,21,,,Central Florida,College Stats,RobiAa00
3,72,DET,Alim McNeill,DT,21,2023,0,0,1,9,9,38,0,0,0,0,0,0,0,0,0,0,0,36,,5.0,North Carolina St.,College Stats,McNeAl00
3,73,PHI,Milton Williams,DL,22,2023,0,0,0,3,3,37,0,0,0,0,0,0,0,0,0,0,0,38,,6.0,Louisiana Tech,College Stats,WillMi08
3,74,WAS,Benjamin St-Juste,DB,23,2023,0,0,1,5,5,24,0,0,0,0,0,0,0,0,0,0,0,65,,2.0,Minnesota,College Stats,StJuBe00
3,75,DAL,Osa Odighizuwa,DL,23,2023,0,0,2,14,14,36,0,0,0,0,0,0,0,0,0,0,0,53,,9.0,UCLA,College Stats,OdigOs00
3,76,NOR,Paulson Adebo,CB,22,2023,0,0,2,10,10,32,0,0,0,0,0,0,0,0,0,0,0,111,4,,Stanford,College Stats,AdebPa00
3,77,LAC,Josh Palmer,WR,21,2023,0,0,1,9,9,36,0,0,0,0,0,2,10,0,113,1205,8,2,,,Tennessee,College Stats,PalmJo00
3,78,MIN,Chazz Surratt,LB,24,2023,0,0,0,1,1,13,0,0,0,0,0,0,0,0,0,0,0,1,,,North Carolina,College Stats,SurrCh00
