Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,College/Univ,,-9999
1,1,CAR,Bryce Young,QB,22,2023,0,0,0,0,0,2,42,71,299,2,2,5,51,0,0,0,0,,,,Alabama,College Stats,YounBr01
1,2,HOU,C.J. Stroud,QB,21,2023,0,0,0,0,0,3,78,121,906,4,0,10,35,0,1,0,0,,,,Ohio St.,College Stats,StroCJ00
1,3,HOU,Will Anderson,LB,22,2023,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,9,,1.0,Alabama,College Stats,AndeWi01
1,4,IND,Anthony Richardson,QB,21,2023,0,0,0,0,0,2,30,47,279,1,1,13,75,3,0,0,0,,,,Florida,College Stats,RichAn03
1,5,SEA,Devon Witherspoon,DB,22,2023,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,10,,,Illinois,College Stats,WithDe00
1,6,ARI,Paris Johnson,OL,22,2023,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,,,,Ohio St.,College Stats,JohnPa03
1,7,LVR,Tyree Wilson,OLB,23,2023,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,,,Texas Tech,College Stats,WilsTy01
1,8,ATL,Bijan Robinson,RB,21,2023,0,0,0,0,0,3,0,0,0,0,0,39,213,0,14,102,1,,,,Texas,College Stats,RobiBi01
1,9,PHI,Jalen Carter,DL,22,2023,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,,1.5,Georgia,College Stats,CartJa05
1,10,CHI,Darnell Wright,OL,22,2023,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,,,,Tennessee,College Stats,WrigDa00
1,11,TEN,Peter Skoronski,OL,22,2023,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,Northwestern,College Stats,SkorPe00
1,12,DET,Jahmyr Gibbs,RB,21,2023,0,0,0,0,0,4,0,0,0,0,0,39,179,0,14,70,0,,,,Alabama,College Stats,GibbJa01
1,13,GNB,Lukas Van Ness,DL,22,2023,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,5,,1.0,Iowa,College Stats,VanNLu00
1,14,PIT,Broderick Jones,OL,22,2023,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,,,,Georgia,College Stats,JoneBr09
1,15,NYJ,Will McDonald,DE,24,2023,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,,,Iowa St.,College Stats,McDoWi00
1,16,WAS,Emmanuel Forbes,CB,22,2023,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,9,1,,Mississippi St.,College Stats,ForbEm00
1,17,NWE,Christian Gonzalez,DB,21,2023,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,13,1,1.0,Oregon,College Stats,GonzCh00
1,18,DET,Jack Campbell,LB,23,2023,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,11,,1.0,Iowa,College Stats,CampJa04
1,19,TAM,Calijah Kancey,DL,22,2023,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,Pittsburgh,College Stats,KancCa00
1,20,SEA,Jaxon Smith-Njigba,WR,21,2023,0,0,0,0,0,3,0,0,0,0,0,0,0,0,9,57,0,,,,Ohio St.,College Stats,SmitJa06
1,21,LAC,Quentin Johnston,WR,22,2023,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,26,0,,,,TCU,College Stats,JohnQu02
1,22,BAL,Zay Flowers,WR,22,2023,0,0,0,0,0,3,0,0,0,0,0,4,17,0,21,188,0,,,,Boston Col.,College Stats,FlowZa00
1,23,MIN,Jordan Addison,WR,21,2023,0,0,0,0,0,3,0,0,0,0,0,0,0,0,13,185,2,,,,USC,College Stats,AddiJo00
1,24,NYG,Deonte Banks,DB,22,2023,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,,,Maryland,College Stats,BankDe00
1,25,BUF,Dalton Kincaid,TE,23,2023,0,0,0,0,0,3,0,0,0,0,0,0,0,0,11,72,0,,,,Utah,College Stats,KincDa00
1,26,DAL,Mazi Smith,DL,22,2023,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,,,Michigan,College Stats,SmitMa06
1,27,JAX,Anton Harrison,OL,21,2023,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,,,,Oklahoma,College Stats,HarrAn00
1,28,CIN,Myles Murphy,DE,21,2023,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,,,,Clemson,College Stats,MurpMy00
1,29,NOR,Bryan Bresee,DT,21,2023,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,,0.5,Clemson,College Stats,BresBr00
1,30,PHI,Nolan Smith,OLB,22,2023,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,,,Georgia,College Stats,SmitNo02
