Rnd,Pick,Tm,Player,ID,Pos,Age,To,AP1,PB,St,CarAV,DrAV,G,PassCmp,PassAtt,PassYds,PassTD,PassInt,RushAtt,RushYds,RushTD,Rec,RecYds,RecTD,SoloTkl,Int,Sk,College/Univ,Year
1,1,CLE,Myles Garrett,GarrMy00,DE,21,2018,0,1,2,18,18,27,0,0,0,0,0,0,0,0,0,0,0,54,,20.5,Texas A&M,2017
1,2,CHI,Mitchell Trubisky,TrubMi00,QB,23,2018,0,1,2,20,20,26,485,764,5416,31,19,109,669,5,0,0,0,,,,North Carolina,2017
1,3,SFO,Solomon Thomas,ThomSo00,DE,21,2018,0,0,2,12,12,30,0,0,0,0,0,0,0,0,0,0,0,58,,4.0,Stanford,2017
1,4,JAX,Leonard Fournette,FourLe00,RB,22,2018,0,0,2,11,11,21,0,0,0,0,0,401,1479,14,58,487,2,,,,LSU,2017
1,5,TEN,Corey Davis,DaviCo03,WR,22,2018,0,0,2,10,10,27,0,0,0,0,0,6,55,0,99,1266,4,,,,West. Michigan,2017
1,6,NYJ,Jamal Adams,AdamJa00,S,21,2018,0,1,2,16,16,32,0,0,0,0,0,0,0,0,0,0,0,149,1,5.5,LSU,2017
1,7,LAC,Mike Williams,WillMi07,WR,22,2018,0,0,0,7,7,26,0,0,0,0,0,7,28,1,54,759,10,,,,Clemson,2017
1,8,CAR,Christian McCaffrey,McCaCh01,RB,21,2018,0,0,2,25,25,32,1,1,50,1,0,336,1533,9,187,1518,11,,,,Stanford,2017
1,9,CIN,John Ross,RossJo00,WR,22,2018,0,0,1,2,2,16,0,0,0,0,0,5,21,0,21,210,7,,,,Washington,2017
1,10,KAN,Patrick Mahomes,MahoPa00,QB,21,2018,1,1,1,23,23,17,405,615,5381,50,13,67,282,2,0,0,0,,,,Texas Tech,2017
1,11,NOR,Marshon Lattimore,LattMa01,CB,21,2018,0,1,2,14,14,29,0,0,0,0,0,0,0,0,0,0,0,92,7,,Ohio St.,2017
1,12,HOU,Deshaun Watson,WatsDe00,QB,21,2018,0,1,1,23,23,23,471,709,5864,45,17,135,820,7,0,0,0,,,,Clemson,2017
1,13,ARI,Haason Reddick,ReddHa00,LB,22,2018,0,0,1,9,9,32,0,0,0,0,0,0,0,0,0,0,0,73,,6.5,Temple,2017
1,14,PHI,Derek Barnett,BarnDe01,DE,21,2018,0,0,0,6,6,21,0,0,0,0,0,0,0,0,0,0,0,29,,7.5,Tennessee,2017
1,15,IND,Malik Hooker,HookMa00,S,21,2018,0,0,1,8,8,21,0,0,0,0,0,0,0,0,0,0,0,45,5,,Ohio St.,2017
1,16,BAL,Marlon Humphrey,HumpMa00,CB,21,2018,0,0,1,7,7,30,0,0,0,0,0,0,0,0,0,0,0,61,4,,Alabama,2017
1,17,WAS,Jonathan Allen,AlleJo01,DE,22,2018,0,0,1,10,10,21,0,0,0,0,0,0,0,0,0,0,0,38,,9.0,Alabama,2017
1,18,TEN,Adoree' Jackson,JackAd00,CB,21,2018,0,0,2,12,12,32,0,0,0,0,0,5,55,0,0,0,0,128,2,,USC,2017
1,19,TAM,O.J. Howard,HowaO.00,TE,22,2018,0,0,2,7,7,24,0,0,0,0,0,0,0,0,60,997,11,,,,Alabama,2017
1,20,DEN,Garett Bolles,BollGa00,T,25,2018,0,0,2,14,14,32,0,0,0,0,0,0,0,0,0,0,0,,,,Utah,2017
1,21,DET,Jarrad Davis,DaviJa01,LB,21,2018,0,0,2,16,16,30,0,0,0,0,0,0,0,0,0,0,0,138,1,8.0,Florida,2017
