,,,,,,,Misc,Misc,,Approx Val,Approx Val,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,,,
Rnd,Pick,Tm,Player,ID,Pos,Age,To,AP1,PB,St,CarAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,College/Univ,
1,1,ARI,Kyler Murray,MurrKy00,QB,22,,0,0,0,,,,,,,,,,,,,,,,,,Oklahoma,College Stats
1,2,SFO,Nick Bosa,BosaNi00,DE,21,,0,0,0,,,,,,,,,,,,,,,,,,Ohio St.,College Stats
1,3,NYJ,Quinnen Williams,WillQu00,DT,21,,0,0,0,,,,,,,,,,,,,,,,,,Alabama,College Stats
1,4,OAK,Clelin Ferrell,FerrCl00,DE,22,,0,0,0,,,,,,,,,,,,,,,,,,Clemson,College Stats
1,5,TAM,Devin White,WhitDe02,LB,21,,0,0,0,,,,,,,,,,,,,,,,,,LSU,College Stats
1,6,NYG,Daniel Jones,JoneDa05,QB,22,,0,0,0,,,,,,,,,,,,,,,,,,Duke,College Stats
1,7,JAX,Josh Allen,AlleJo03,LB,22,,0,0,0,,,,,,,,,,,,,,,,,,Kentucky,College Stats
1,8,DET,T.J. Hockenson,HockTJ00,TE,22,,0,0,0,,,,,,,,,,,,,,,,,,Iowa,College Stats
1,9,BUF,Ed Oliver,OlivEd00,DT,21,,0,0,0,,,,,,,,,,,,,,,,,,Houston,College Stats
1,10,PIT,Devin Bush,BushDe01,LB,21,,0,0,0,,,,,,,,,,,,,,,,,,Michigan,College Stats
1,11,CIN,Jonah Williams,WillJo10,G,21,,0,0,0,,,,,,,,,,,,,,,,,,Alabama,College Stats
1,12,GNB,Rashan Gary,GaryRa00,LB,21,,0,0,0,,,,,,,,,,,,,,,,,,Michigan,College Stats
1,13,MIA,Christian Wilkins,WilkCh00,DT,23,,0,0,0,,,,,,,,,,,,,,,,,,Clemson,College Stats
1,14,ATL,Chris Lindstrom,LindCh00,G,22,,0,0,0,,,,,,,,,,,,,,,,,,Boston Col.,College Stats
1,15,WAS,Dwayne Haskins,HaskDw00,QB,22,,0,0,0,,,,,,,,,,,,,,,,,,Ohio St.,College Stats
1,16,CAR,Brian Burns,BurnBr00,DE,21,,0,0,0,,,,,,,,,,,,,,,,,,Florida St.,College Stats
1,17,NYG,Dexter Lawrence,LawrDe03,DT,21,,0,0,0,,,,,,,,,,,,,,,,,,Clemson,College Stats
1,18,MIN,Garrett Bradbury,BradGa00,C,24,,0,0,0,,,,,,,,,,,,,,,,,,North Carolina St.,College Stats
1,19,TEN,Jeffery Simmons,SimmJe01,DT,22,,0,0,0,,,,,,,,,,,,,,,,,,Mississippi St.,College Stats
1,20,DEN,Noah Fant,FantNo00,TE,21,,0,0,0,,,,,,,,,,,,,,,,,,Iowa,College Stats
1,21,GNB,Darnell Savage,SavaDa00,S,,,0,0,0,,,,,,,,,,,,,,,,,,Maryland,College Stats
1,22,PHI,Andre Dillard,DillAn00,T,23,,0,0,0,,,,,,,,,,,,,,,,,,Washington St.,College Stats
1,23,HOU,Tytus Howard,HowaTy00,T,23,,0,0,0,,,,,,,,,,,,,,,,,,Alabama St.,
1,24,OAK,Josh Jacobs,JacoJo01,RB,21,,0,0,0,,,,,,,,,,,,,,,,,,Alabama,College Stats
1,25,BAL,Marquise Brown,BrowMa04,WR,22,,0,0,0,,,,,,,,,,,,,,,,,,Oklahoma,College Stats
1,26,WAS,Montez Sweat,SweaMo00,DE,23,,0,0,0,,,,,,,,,,,,,,,,,,Mississippi St.,College Stats
1,27,OAK,Johnathan Abram,AbraJo01,S,22,,0,0,0,,,,,,,,,,,,,,,,,,Mississippi St.,College Stats
1,28,LAC,Jerry Tillery,TillJe00,DT,22,,0,0,0,,,,,,,,,,,,,,,,,,Notre Dame,College Stats
1,29,SEA,L.J. Collier,CollLJ00,DE,23,,0,0,0,,,,,,,,,,,,,,,,,,TCU,College Stats
1,30,NYG,Deandre Baker,BakeDe00,CB,22,,0,0,0,,,,,,,,,,,,,,,,,,Georgia,College Stats
1,31,ATL,Kaleb McGary,McGaKa00,T,24,,0,0,0,,,,,,,,,,,,,,,,,,Washington,College Stats
1,32,NWE,N'Keal Harry,HarrNK00,WR,21,,0,0,0,,,,,,,,,,,,,,,,,,Arizona St.,College Stats
2,33,ARI,Byron Murphy,MurpBy00,CB,21,,0,0,0,,,,,,,,,,,,,,,,,,Washington,College Stats
2,34,IND,Rock Ya-Sin,Ya-SRo00,CB,23,,0,0,0,,,,,,,,,,,,,,,,,,Temple,College Stats
2,35,JAX,Jawaan Taylor,TaylJa02,T,21,,0,0,0,,,,,,,,,,,,,,,,,,Florida,College Stats
2,36,SFO,Deebo Samuel,SamuDe00,WR,23,,0,0,0,,,,,,,,,,,,,,,,,,South Carolina,College Stats
2,37,CAR,Greg Little,LittGr01,T,21,,0,0,0,,,,,,,,,,,,,,,,,,Mississippi,College Stats
2,38,BUF,Cody Ford,FordCo00,T,22,,0,0,0,,,,,,,,,,,,,,,,,,Oklahoma,College Stats
2,39,TAM,Sean Bunting,BuntSe00,CB,,,0,0,0,,,,,,,,,,,,,,,,,,Central Michigan,College Stats
2,40,OAK,Trayvon Mullen,MullTr00,CB,21,,0,0,0,,,,,,,,,,,,,,,,,,Clemson,College Stats
2,41,DEN,Dalton Risner,RisnDa00,T,24,,0,0,0,,,,,,,,,,,,,,,,,,Kansas St.,College Stats
2,42,DEN,Drew Lock,LockDr00,QB,22,,0,0,0,,,,,,,,,,,,,,,,,,Missouri,College Stats
2,43,DET,Jahlani Tavai,TavaJa00,LB,,,0,0,0,,,,,,,,,,,,,,,,,,Hawaii,College Stats
2,44,GNB,Elgton Jenkins,JenkEl00,C,23,,0,0,0,,,,,,,,,,,,,,,,,,Mississippi St.,College Stats
2,45,NWE,Joejuan Williams,WillJo13,CB,21,,0,0,0,,,,,,,,,,,,,,,,,,Vanderbilt,College Stats
2,46,CLE,Greedy Williams,WillGr00,CB,21,,0,0,0,,,,,,,,,,,,,,,,,,LSU,College Stats
2,47,SEA,Marquise Blair,BlaiMa01,S,,,0,0,0,,,,,,,,,,,,,,,,,,Utah,College Stats
2,48,NOR,Erik McCoy,McCoEr01,C,22,,0,0,0,,,,,,,,,,,,,,,,,,Texas A&M,College Stats
2,49,IND,Ben Banogu,BanoBe00,LB,23,,0,0,0,,,,,,,,,,,,,,,,,,TCU,College Stats
2,50,MIN,Irv Smith Jr.,SmitIr01,TE,21,,0,0,0,,,,,,,,,,,,,,,,,,Alabama,College Stats
2,51,TEN,A.J. Brown,BrowAJ00,WR,22,,0,0,0,,,,,,,,,,,,,,,,,,Mississippi,College Stats
2,52,CIN,Drew Sample,SampDr00,TE,,,0,0,0,,,,,,,,,,,,,,,,,,Washington,College Stats
2,53,PHI,Miles Sanders,SandMi01,RB,22,,0,0,0,,,,,,,,,,,,,,,,,,Penn St.,College Stats
2,54,HOU,Lonnie Johnson Jr.,JohnLo01,CB,22,,0,0,0,,,,,,,,,,,,,,,,,,Kentucky,College Stats
2,55,HOU,Max Scharping,SchaMa01,T,23,,0,0,0,,,,,,,,,,,,,,,,,,Northern Illinois,College Stats
2,56,KAN,Mecole Hardman,HardMe00,WR,21,,0,0,0,,,,,,,,,,,,,,,,,,Georgia,College Stats
2,57,PHI,JJ Arcega-Whiteside,ArceJJ00,WR,,,0,0,0,,,,,,,,,,,,,,,,,,Stanford,College Stats
2,58,DAL,Trysten Hill,HillTr00,DT,21,,0,0,0,,,,,,,,,,,,,,,,,,Central Florida,College Stats
