Rnd,Pick,Tm,Player,ID,Pos,Age,To,AP1,PB,St,CarAV,DrAV,G,PassCmp,PassAtt,PassYds,PassTD,PassInt,RushAtt,RushYds,RushTD,Rec,RecYds,RecTD,SoloTkl,Int,Sk,College/Univ,
4,111,LAR,Brian Allen,AlleBr02,C,22,2018,0,0,0,1,1,13,0,0,0,0,0,0,0,0,0,0,0,,,,Michigan St.,College Stats
4,112,CIN,Mark Walton,WaltMa00,RB,21,2018,0,0,0,1,1,14,0,0,0,0,0,14,34,0,5,41,0,4,,,Miami (FL),College Stats
4,113,DEN,DaeSean Hamilton,HamiDa01,WR,23,2018,0,0,0,2,2,14,0,0,0,0,0,0,0,0,30,243,2,,,,Penn St.,College Stats
4,114,DET,Da'Shawn Hand,HandDa00,DE,22,2018,0,0,0,5,5,13,0,0,0,0,0,0,0,0,0,0,0,22,,3.0,Alabama,College Stats
4,115,CHI,Joel Iyiegbuniwe,IyieJo00,LB,22,2018,0,0,0,1,1,16,0,0,0,0,0,0,0,0,0,0,0,9,,,Western Kentucky,College Stats
4,116,DAL,Dorance Armstrong,ArmsDo00,DE,21,2018,0,0,0,2,2,15,0,0,0,0,0,0,0,0,0,0,0,8,,0.5,Kansas,College Stats
4,117,TAM,Jordan Whitehead,WhitJo03,S,21,2018,0,0,1,3,3,15,0,0,0,0,0,0,0,0,0,0,0,61,,,Pittsburgh,College Stats
4,118,BAL,Anthony Averett,AverAn00,CB,23,2018,0,0,0,1,1,11,0,0,0,0,0,0,0,0,0,0,0,5,,,Alabama,College Stats
4,119,LAC,Kyzir White,WhitKy00,S,22,2018,0,0,0,2,2,3,0,0,0,0,0,0,0,0,0,0,0,12,1,,West Virginia,College Stats
4,120,SEA,Will Dissly,DissWi00,TE,22,2018,0,0,0,2,2,4,0,0,0,0,0,0,0,0,8,156,2,,,,Washington,College Stats
4,121,BUF,Taron Johnson,JohnTa01,CB,22,2018,0,0,0,2,2,11,0,0,0,0,0,0,0,0,0,0,0,34,1,1.0,Weber St.,
4,122,BAL,Kenny Young,YounKe03,LB,23,2018,0,0,0,4,4,16,0,0,0,0,0,0,0,0,0,0,0,40,,2.5,UCLA,College Stats
4,123,MIA,Durham Smythe,SmytDu00,TE,22,2018,0,0,0,0,0,15,0,0,0,0,0,0,0,0,6,50,0,,,,Notre Dame,College Stats
4,124,KAN,Armani Watts,WattAr00,S,22,2018,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,,1.0,Texas A&M,College Stats
4,125,PHI,Avonte Maddox,MaddAv00,CB,22,2018,0,0,0,4,4,13,0,0,0,0,0,0,0,0,0,0,0,28,2,0.5,Pittsburgh,College Stats
4,126,ATL,Ito Smith,SmitIt00,RB,22,2018,0,0,0,3,3,14,0,0,0,0,0,90,315,4,27,152,0,,,,Southern Miss,College Stats
4,127,NOR,Rick Leonard,LeonRi00,T,21,,0,0,0,,,,,,,,,,,,,,,,,,Florida St.,College Stats
4,128,SFO,Kentavius Street,StreKe00,DT,21,,0,0,0,,,,,,,,,,,,,,,,,,North Carolina St.,College Stats
4,129,JAX,Will Richardson,RichWi01,T,22,,0,0,0,,,,,,,,,,,,,,,,,,North Carolina St.,College Stats
4,130,PHI,Josh Sweat,SweaJo00,DE,21,2018,0,0,0,1,1,9,0,0,0,0,0,0,0,0,0,0,0,1,,,Florida St.,College Stats
4,131,MIA,Kalen Ballage,BallKa00,RB,22,2018,0,0,0,2,2,12,0,0,0,0,0,36,191,1,9,56,0,3,,,Arizona St.,College Stats
4,132,BAL,Jaleel Scott,ScotJa02,WR,23,,0,0,0,,,,,,,,,,,,,,,,,,New Mexico St.,College Stats
4,133,GNB,J'Mon Moore,MoorJM00,WR,23,2018,0,0,0,0,0,12,0,0,0,0,0,0,0,0,2,15,0,2,,,Missouri,College Stats
4,134,ARI,Chase Edmonds,EdmoCh00,RB,22,2018,0,0,0,2,2,16,0,0,0,0,0,60,208,2,20,103,0,7,,,Fordham,
4,135,LAR,John Franklin-Myers,FranJo02,DE,21,2018,0,0,0,1,1,16,0,0,0,0,0,0,0,0,0,0,0,6,,2.0,S.F. Austin,
4,136,CAR,Marquis Haynes,HaynMa01,OLB,24,2018,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,,,Mississippi,College Stats
4,137,DAL,Dalton Schultz,SchuDa00,TE,22,2018,0,0,0,1,1,11,0,0,0,0,0,0,0,0,12,116,0,1,,,Stanford,College Stats
5,138,GNB,Cole Madison,MadiCo01,G,23,,0,0,0,,,,,,,,,,,,,,,,,,Washington St.,College Stats
5,139,NYG,R.J. McIntosh,McInR.00,DT,22,2018,0,0,0,1,1,6,0,0,0,0,0,0,0,0,0,0,0,5,,,Miami (FL),College Stats
5,140,OAK,Maurice Hurst,HursMa00,DT,23,2018,0,0,1,5,5,13,0,0,0,0,0,0,0,0,0,0,0,26,,4.0,Michigan,College Stats
5,141,SEA,Shaquem Griffin,GrifSh01,OLB,23,2018,0,0,0,2,2,16,0,0,0,0,0,0,0,0,0,0,0,8,,,Central Florida,College Stats
5,142,SFO,D.J. Reed,ReedD.00,CB,21,2018,0,0,0,1,1,15,0,0,0,0,0,0,0,0,0,0,0,30,,1.0,Kansas St.,College Stats
5,143,NWE,Ja'Whaun Bentley,BentJa00,ILB,22,2018,0,0,0,2,2,3,0,0,0,0,0,0,0,0,0,0,0,9,1,,Purdue,College Stats
5,144,TAM,Justin Watson,WatsJu01,WR,23,2018,0,0,0,0,0,12,0,0,0,0,0,0,0,0,1,5,0,6,,,Pennsylvania,
5,145,CHI,Bilal Nichols,NichBi00,DT,21,2018,0,0,0,5,5,14,0,0,0,0,0,0,0,0,0,0,0,20,,3.0,Delaware,
5,146,SEA,Tre Flowers,FlowTr01,S,23,2018,0,0,1,6,6,15,0,0,0,0,0,0,0,0,0,0,0,55,,,Oklahoma St.,College Stats
5,147,LAR,Micah Kiser,KiseMi00,ILB,23,2018,0,0,0,1,1,16,0,0,0,0,0,0,0,0,0,0,0,2,,,Virginia,College Stats
5,148,PIT,Marcus Allen,AlleMa03,S,22,2018,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,,,Penn St.,College Stats
5,149,SEA,Michael Dickson,DickMi00,P,22,2018,1,1,1,3,3,16,0,0,0,0,0,1,9,0,0,0,0,,,,Texas,College Stats
5,150,CLE,Genard Avery,AverGe00,LB,23,2018,0,0,0,4,4,16,0,0,0,0,0,0,0,0,0,0,0,30,,4.5,Memphis,College Stats
5,151,CIN,Davontae Harris,HarrDa05,CB,23,2018,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,,,Illinois St.,
5,152,TEN,Dane Cruikshank,CruiDa00,CB,23,2018,0,0,0,1,1,12,0,0,0,0,0,0,0,0,1,66,1,10,,,Arizona,College Stats
5,153,DET,Tyrell Crosby,CrosTy00,T,23,2018,0,0,0,2,2,10,0,0,0,0,0,0,0,0,0,0,0,,,,Oregon,College Stats
5,154,BUF,Siran Neal,NealSi00,CB,24,2018,0,0,0,1,1,16,0,0,0,0,0,0,0,0,0,0,0,10,,1.0,Jacksonville St.,
5,155,LAC,Scott Quessenberry,QuesSc00,C,23,2018,0,0,0,1,1,15,0,0,0,0,0,0,0,0,0,0,0,,,,UCLA,College Stats
5,156,DEN,Troy Fumagalli,FumaTr00,TE,23,,0,0,0,,,,,,,,,,,,,,,,,,Wisconsin,College Stats
5,157,MIN,Tyler Conklin,ConkTy00,TE,23,2018,0,0,0,1,1,16,0,0,0,0,0,0,0,0,5,77,0,,,,Central Michigan,College Stats
5,158,CIN,Andrew Brown,BrowAn05,DE,22,,0,0,0,,,,,,,,,,,,,,,,,,Virginia,College Stats
5,159,IND,Daurice Fountain,FounDa00,WR,22,2018,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,Northern Iowa,
5,160,LAR,Ogbonnia Okoronkwo,OkorOg00,DE,23,,0,0,0,,,,,,,,,,,,,,,,,,Oklahoma,College Stats
5,161,CAR,Jermaine Carter,CartJe00,LB,23,2018,0,0,0,1,1,16,0,0,0,0,0,0,0,0,0,0,0,7,,,Maryland,College Stats
5,162,BAL,Jordan Lasley,LaslJo00,WR,21,,0,0,0,,,,,,,,,,,,,,,,,,UCLA,College Stats
5,163,WAS,Tim Settle,SettTi00,DT,21,2018,0,0,0,1,1,16,0,0,0,0,0,0,0,0,0,0,0,6,,,Virginia Tech,College Stats
5,164,NOR,Natrell Jamerson,JameNa00,S,22,2018,0,0,0,1,,12,0,0,0,0,0,0,0,0,0,0,0,8,,,Wisconsin,College Stats
5,165,PIT,Jaylen Samuels,SamuJa00,TE,22,2018,0,0,0,3,3,14,0,0,0,0,0,56,256,0,26,199,3,,,,North Carolina St.,College Stats
5,166,BUF,Wyatt Teller,TellWy00,G,23,2018,0,0,0,2,2,8,0,0,0,0,0,0,0,0,0,0,0,,,,Virginia Tech,College Stats
5,167,MIN,Daniel Carlson,CarlDa00,K,23,2018,0,0,1,2,-1,12,0,0,0,0,0,0,0,0,0,0,0,1,,,Auburn,College Stats
5,168,SEA,Jamarco Jones,JoneJa08,T,22,,0,0,0,,,,,,,,,,,,,,,,,,Ohio St.,College Stats
5,169,IND,Jordan Wilkins,WilkJo01,RB,24,2018,0,0,0,3,3,16,0,0,0,0,0,60,336,1,16,85,0,,,,Mississippi,College Stats
5,170,CIN,Darius Phillips,PhilDa02,CB,23,2018,0,0,0,1,1,15,0,0,0,0,0,0,0,0,0,0,0,19,,,West. Michigan,College Stats
5,171,DAL,Mike White,WhitMi01,QB,23,,0,0,0,,,,,,,,,,,,,,,,,,Western Kentucky,College Stats
5,172,GNB,JK Scott,ScotJK00,P,21,2018,0,0,1,2,2,16,0,1,0,0,0,0,0,0,0,0,0,2,,,Alabama,College Stats
5,173,OAK,Johnny Townsend,TownJo01,P,23,2018,0,0,1,2,2,16,0,0,0,0,0,1,42,0,0,0,0,,,,Florida,College Stats
5,174,GNB,Marquez Valdes-Scantling,ValdMa00,WR,23,2018,0,0,1,4,4,16,0,0,0,0,0,2,29,0,38,581,2,2,,,South Florida,College Stats
