Rnd,Pick,Tm,Player,ID,Pos,Age,To,AP1,PB,St,CarAV,DrAV,G,PassCmp,PassAtt,PassYds,PassTD,PassInt,RushAtt,RushYds,RushTD,Rec,RecYds,RecTD,SoloTkl,Int,Sk,College/Univ,
1,1,CLE,Baker Mayfield,MayfBa00,QB,23,2018,0,0,1,10,10,14,310,486,3725,27,14,39,131,0,0,0,0,,,,Oklahoma,College Stats
1,2,NYG,Saquon Barkley,BarkSa00,RB,21,2018,0,1,1,14,14,16,0,0,0,0,0,261,1307,11,91,721,4,,,,Penn St.,College Stats
1,3,NYJ,Sam Darnold,DarnSa00,QB,21,2018,0,0,1,7,7,13,239,414,2865,17,15,44,138,1,0,0,0,,,,USC,College Stats
1,4,CLE,Denzel Ward,WardDe02,CB,21,2018,0,1,1,8,8,13,0,0,0,0,0,0,0,0,0,0,0,41,3,,Ohio St.,College Stats
1,5,DEN,Bradley Chubb,ChubBr00,DE,22,2018,0,0,1,8,8,16,0,0,0,0,0,0,0,0,0,0,0,41,,12.0,North Carolina St.,College Stats
1,6,IND,Quenton Nelson,NelsQu00,G,22,2018,1,1,1,14,14,16,0,0,0,0,0,0,0,0,0,0,0,,,,Notre Dame,College Stats
1,7,BUF,Josh Allen,AlleJo02,QB,22,2018,0,0,1,6,6,12,169,320,2074,10,12,89,631,8,0,0,0,,,,Wyoming,College Stats
1,8,CHI,Roquan Smith,SmitRo07,ILB,21,2018,0,0,1,9,9,16,0,0,0,0,0,0,0,0,0,0,0,89,1,5.0,Georgia,College Stats
1,9,SFO,Mike McGlinchey,McGlMi00,T,24,2018,0,0,1,8,8,16,0,0,0,0,0,0,0,0,0,0,0,,,,Notre Dame,College Stats
1,10,ARI,Josh Rosen,RoseJo01,QB,21,2018,0,0,1,2,2,14,217,393,2278,11,14,23,138,0,0,0,0,,,,UCLA,College Stats
1,11,MIA,Minkah Fitzpatrick,FitzMi00,S,21,2018,0,0,1,4,4,16,0,0,0,0,0,0,0,0,0,0,0,51,2,,Alabama,College Stats
1,12,TAM,Vita Vea,VeaxVi00,DT,23,2018,0,0,1,4,4,13,0,0,0,0,0,0,0,0,0,0,0,21,,3.0,Washington,College Stats
1,13,WAS,Daron Payne,PaynDa00,DT,21,2018,0,0,1,8,8,16,0,0,0,0,0,0,0,0,0,0,0,35,,5.0,Alabama,College Stats
1,14,NOR,Marcus Davenport,DaveMa00,DE,22,2018,0,0,0,1,1,13,0,0,0,0,0,0,0,0,0,0,0,12,,4.5,Texas-San Antonio,College Stats
1,15,OAK,Kolton Miller,MillKo00,T,22,2018,0,0,1,7,7,16,0,0,0,0,0,0,0,0,0,0,0,,,,UCLA,College Stats
1,16,BUF,Tremaine Edmunds,EdmuTr01,ILB,20,2018,0,0,1,9,9,15,0,0,0,0,0,0,0,0,0,0,0,80,2,2.0,Virginia Tech,College Stats
1,17,LAC,Derwin James,JameDe00,S,22,2018,1,1,1,10,10,16,0,0,0,0,0,0,0,0,0,0,0,75,3,3.5,Florida St.,College Stats
1,18,GNB,Jaire Alexander,AlexJa00,CB,21,2018,0,0,1,5,5,13,0,0,0,0,0,0,0,0,0,0,0,61,1,0.5,Louisville,College Stats
1,19,DAL,Leighton Vander Esch,VandLe00,OLB,22,2018,0,1,1,11,11,16,0,0,0,0,0,0,0,0,0,0,0,102,2,,Boise St.,College Stats
1,20,DET,Frank Ragnow,RagnFr00,C,22,2018,0,0,1,7,7,16,0,0,0,0,0,0,0,0,0,0,0,,,,Arkansas,College Stats
1,21,CIN,Billy Price,PricBi01,C,23,2018,0,0,1,5,5,10,0,0,0,0,0,0,0,0,0,0,0,,,,Ohio St.,College Stats
1,22,TEN,Rashaan Evans,EvanRa01,ILB,22,2018,0,0,0,5,5,15,0,0,0,0,0,0,0,0,0,0,0,33,,,Alabama,College Stats
1,23,NWE,Isaiah Wynn,WynnIs00,T,21,,0,0,0,,,,,,,,,,,,,,,,,,Georgia,College Stats
1,24,CAR,D.J. Moore,MoorD.00,WR,21,2018,0,0,1,8,8,16,0,0,0,0,0,13,172,0,55,788,2,1,,,Maryland,College Stats
1,25,BAL,Hayden Hurst,HursHa00,TE,25,2018,0,0,0,1,1,12,0,0,0,0,0,1,0,0,13,163,1,,,,South Carolina,College Stats
1,26,ATL,Calvin Ridley,RidlCa00,WR,23,2018,0,0,0,7,7,16,0,0,0,0,0,6,27,0,64,821,10,,,,Alabama,College Stats
1,27,SEA,Rashaad Penny,PennRa00,RB,22,2018,0,0,0,4,4,14,0,0,0,0,0,85,419,2,9,75,0,,,,San Diego St.,College Stats
1,28,PIT,Terrell Edmunds,EdmuTe00,S,21,2018,0,0,1,6,6,16,0,0,0,0,0,0,0,0,0,0,0,55,1,1.0,Virginia Tech,College Stats
1,29,JAX,Taven Bryan,BryaTa00,DT,22,2018,0,0,0,2,2,16,0,0,0,0,0,0,0,0,0,0,0,13,,1.0,Florida,College Stats
1,30,MIN,Mike Hughes,HughMi00,CB,21,2018,0,0,0,2,2,6,0,0,0,0,0,0,0,0,0,0,0,19,1,,Central Florida,College Stats
1,31,NWE,Sony Michel,MichSo00,RB,23,2018,0,0,1,7,7,13,0,0,0,0,0,209,931,6,7,50,0,,,,Georgia,College Stats
1,32,BAL,Lamar Jackson,JackLa00,QB,21,2018,0,0,0,8,8,16,99,170,1201,6,3,147,695,5,0,0,0,,,,Louisville,College Stats
2,33,CLE,Austin Corbett,CorbAu00,C,23,2018,0,0,0,1,1,11,0,0,0,0,0,0,0,0,0,0,0,,,,Nevada,College Stats
2,34,NYG,Will Hernandez,HernWi00,G,23,2018,0,0,1,7,7,16,0,0,0,0,0,0,0,0,0,0,0,,,,Texas-El Paso,College Stats
2,35,CLE,Nick Chubb,ChubNi00,RB,22,2018,0,0,1,6,6,16,0,0,0,0,0,192,996,8,20,149,2,2,,,Georgia,College Stats
2,36,IND,Darius Leonard,LeonDa00,LB,23,2018,1,0,1,18,18,15,0,0,0,0,0,0,0,0,0,0,0,111,2,7.0,South Carolina St.,
2,37,IND,Braden Smith,SmitBr06,G,22,2018,0,0,1,6,6,15,0,0,0,0,0,0,0,0,0,0,0,,,,Auburn,College Stats
2,38,TAM,Ronald Jones,JoneRo01,RB,21,2018,0,0,0,0,0,9,0,0,0,0,0,23,44,1,7,33,0,1,,,USC,College Stats
2,39,CHI,James Daniels,DaniJa01,C,20,2018,0,0,1,5,5,16,0,0,0,0,0,0,0,0,0,0,0,,,,Iowa,College Stats
2,40,DEN,Courtland Sutton,SuttCo00,WR,22,2018,0,0,1,5,5,16,0,0,0,0,0,1,-1,0,42,704,4,1,,,SMU,College Stats
2,41,TEN,Harold Landry,LandHa00,OLB,22,2018,0,0,0,3,3,15,0,0,0,0,0,0,0,0,0,0,0,24,,4.5,Boston Col.,College Stats
2,42,MIA,Mike Gesicki,GesiMi00,TE,22,2018,0,0,0,2,2,16,0,0,0,0,0,0,0,0,22,202,0,,,,Penn St.,College Stats
2,43,DET,Kerryon Johnson,JohnKe06,RB,21,2018,0,0,0,5,5,10,0,0,0,0,0,118,641,3,32,213,1,,,,Auburn,College Stats
2,44,SFO,Dante Pettis,PettDa00,WR,22,2018,0,0,0,3,3,12,0,0,0,0,0,1,-2,0,27,467,5,,,,Washington,College Stats
2,45,GNB,Josh Jackson,JackJo01,CB,22,2018,0,0,1,4,4,16,0,0,0,0,0,0,0,0,0,0,0,39,,,Iowa,College Stats
2,46,KAN,Breeland Speaks,SpeaBr00,DE,22,2018,0,0,0,3,3,16,0,0,0,0,0,0,0,0,0,0,0,15,,1.5,Mississippi,College Stats
2,47,ARI,Christian Kirk,KirkCh01,WR,21,2018,0,0,0,4,4,12,0,0,0,0,0,3,35,0,43,590,3,,,,Texas A&M,College Stats
2,48,LAC,Uchenna Nwosu,NwosUc00,OLB,21,2018,0,0,0,3,3,16,0,0,0,0,0,0,0,0,0,0,0,17,,3.5,USC,College Stats
2,49,PHI,Dallas Goedert,GoedDa00,TE,23,2018,0,0,1,3,3,16,0,0,0,0,0,0,0,0,33,334,4,2,,,South Dakota St.,
2,50,DAL,Connor Williams,WillCo00,T,21,2018,0,0,1,4,4,13,0,0,0,0,0,0,0,0,0,0,0,,,,Texas,College Stats
2,51,CHI,Anthony Miller,MillAn02,WR,23,2018,0,0,0,4,4,15,1,1,8,0,0,6,26,0,33,423,7,1,,,Memphis,College Stats
2,52,IND,Kemoko Turay,TuraKe00,OLB,23,2018,0,0,0,3,3,14,0,0,0,0,0,0,0,0,0,0,0,11,,4.0,Rutgers,College Stats
2,53,TAM,M.J. Stewart,StewM.00,CB,22,2018,0,0,0,2,2,11,0,0,0,0,0,0,0,0,0,0,0,31,,,North Carolina,College Stats
2,54,CIN,Jessie Bates,BateJe00,S,21,2018,0,0,1,5,5,16,0,0,0,0,0,0,0,0,0,0,0,73,3,,Wake Forest,College Stats
2,55,CAR,Donte Jackson,JackDo02,CB,22,2018,0,0,1,6,6,16,0,0,0,0,0,0,0,0,0,0,0,63,4,1.0,LSU,College Stats
2,56,NWE,Duke Dawson,DawsDu00,CB,21,,0,0,0,,,,,,,,,,,,,,,,,,Florida,College Stats
2,57,OAK,P.J. Hall,HallP.00,DT,23,2018,0,0,0,3,3,14,0,0,0,0,0,0,0,0,0,0,0,16,,,Sam Houston St.,
2,58,ATL,Isaiah Oliver,OlivIs00,CB,21,2018,0,0,0,1,1,14,0,0,0,0,0,0,0,0,0,0,0,20,1,,Colorado,College Stats
2,59,WAS,Derrius Guice,GuicDe00,RB,21,,0,0,0,,,,,,,,,,,,,,,,,,LSU,College Stats
2,60,PIT,James Washington,WashJa00,WR,22,2018,0,0,0,2,2,14,0,0,0,0,0,0,0,0,16,217,1,1,,,Oklahoma St.,College Stats
2,61,JAX,DJ Chark,CharDJ00,WR,21,2018,0,0,0,1,1,11,0,0,0,0,0,0,0,0,14,174,0,5,,,LSU,College Stats
2,62,MIN,Brian O'Neill,ONeiBr00,T,22,2018,0,0,1,6,6,15,0,0,0,0,0,0,0,0,0,0,0,,,,Pittsburgh,College Stats
2,63,TAM,Carlton Davis,DaviCa02,CB,21,2018,0,0,1,4,4,13,0,0,0,0,0,0,0,0,0,0,0,36,,,Auburn,College Stats
2,64,IND,Tyquan Lewis,LewiTy00,DE,23,2018,0,0,0,3,3,8,0,0,0,0,0,0,0,0,0,0,0,9,,2.0,Ohio St.,College Stats
3,65,OAK,Brandon Parker,ParkBr01,T,22,2018,0,0,1,5,5,15,0,0,0,0,0,0,0,0,0,0,0,,,,North Carolina A&T,
3,66,NYG,Lorenzo Carter,CartLo01,DE,22,2018,0,0,0,2,2,15,0,0,0,0,0,0,0,0,0,0,0,30,,4.0,Georgia,College Stats
3,67,CLE,Chad Thomas,ThomCh06,DE,22,2018,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,,,,Miami (FL),College Stats
3,68,HOU,Justin Reid,ReidJu00,S,21,2018,0,0,1,6,6,16,0,0,0,0,0,0,0,0,0,0,0,70,3,,Stanford,College Stats
3,69,NYG,B.J. Hill,HillB.00,DT,23,2018,0,0,1,6,6,16,0,0,0,0,0,0,0,0,0,0,0,32,,5.5,North Carolina St.,College Stats
3,70,SFO,Fred Warner,WarnFr00,OLB,21,2018,0,0,1,7,7,16,0,0,0,0,0,0,0,0,0,0,0,85,,,BYU,College Stats
3,71,DEN,Royce Freeman,FreeRo00,RB,22,2018,0,0,1,3,3,14,0,0,0,0,0,130,521,5,14,72,0,,,,Oregon,College Stats
3,72,NYJ,Nathan Shepherd,ShepNa00,DT,24,2018,0,0,0,5,5,16,0,0,0,0,0,0,0,0,0,0,0,5,,,Fort Hays St.,
3,73,MIA,Jerome Baker,BakeJe00,OLB,21,2018,0,0,1,6,6,16,0,0,0,0,0,0,0,0,0,0,0,57,1,3.0,Ohio St.,College Stats
3,74,WAS,Geron Christian,ChriGe01,T,21,2018,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,Louisville,College Stats
3,75,KAN,Derrick Nnadi,NnadDe00,DT,22,2018,0,0,1,4,4,16,0,0,0,0,0,0,0,0,0,0,0,17,,,Florida St.,College Stats
3,76,PIT,Mason Rudolph,RudoMa00,QB,23,,0,0,0,,,,,,,,,,,,,,,,,,Oklahoma St.,College Stats
3,77,CIN,Sam Hubbard,HubbSa00,DE,23,2018,0,0,0,2,2,16,0,0,0,0,0,0,0,0,0,0,0,27,,6.0,Ohio St.,College Stats
3,78,CIN,Malik Jefferson,JeffMa00,OLB,21,2018,0,0,0,1,1,12,0,0,0,0,0,0,0,0,0,0,0,5,,,Texas,College Stats
3,79,SEA,Rasheem Green,GreeRa01,DT,21,2018,0,0,0,1,1,10,0,0,0,0,0,0,0,0,0,0,0,7,,1.0,USC,College Stats
3,80,HOU,Martinas Rankin,RankMa00,T,23,2018,0,0,0,3,3,16,0,0,0,0,0,0,0,0,0,0,0,,,,Mississippi St.,College Stats
3,81,DAL,Michael Gallup,GallMi00,WR,22,2018,0,0,1,4,4,16,0,0,0,0,0,0,0,0,33,507,2,,,,Colorado St.,College Stats
3,82,DET,Tracy Walker,WalkTr01,S,23,2018,0,0,0,1,1,16,0,0,0,0,0,0,0,0,0,0,0,18,1,,Louisiana,College Stats
3,83,BAL,Orlando Brown,BrowOr00,T,22,2018,0,0,1,6,6,16,0,0,0,0,0,0,0,0,0,0,0,,,,Oklahoma,College Stats
3,84,LAC,Justin Jones,JoneJu03,DT,23,2018,0,0,0,1,1,15,0,0,0,0,0,0,0,0,0,0,0,7,,0.5,North Carolina St.,College Stats
3,85,CAR,Rashaan Gaulden,GaulRa00,CB,23,2018,0,0,0,1,1,15,0,0,0,0,0,0,0,0,0,0,0,12,,,Tennessee,College Stats
3,86,BAL,Mark Andrews,AndrMa00,TE,22,2018,0,0,0,5,5,16,0,0,0,0,0,0,0,0,34,552,3,,,,Oklahoma,College Stats
3,87,OAK,Arden Key,KeyxAr00,DE,22,2018,0,0,1,4,4,16,0,0,0,0,0,0,0,0,0,0,0,21,,1.0,LSU,College Stats
3,88,GNB,Oren Burks,BurkOr00,ILB,23,2018,0,0,0,3,3,14,0,0,0,0,0,0,0,0,0,0,0,18,,,Vanderbilt,College Stats
3,89,LAR,Joseph Noteboom,NoteJo00,T,23,2018,0,0,0,2,2,16,0,0,0,0,0,0,0,0,0,0,0,,,,TCU,College Stats
3,90,ATL,Deadrin Senat,SenaDe00,DT,24,2018,0,0,0,2,2,15,0,0,0,0,0,0,0,0,0,0,0,15,,,South Florida,College Stats
3,91,NOR,Tre'Quan Smith,SmitTr03,WR,22,2018,0,0,0,5,5,15,0,0,0,0,0,0,0,0,28,427,5,,,,Central Florida,College Stats
3,92,PIT,Chukwuma Okorafor,OkorCh00,T,21,2018,0,0,0,2,2,13,0,0,0,0,0,0,0,0,0,0,0,,,,West. Michigan,College Stats
3,93,JAX,Ronnie Harrison,HarrRo02,S,21,2018,0,0,0,4,4,14,0,0,0,0,0,0,0,0,0,0,0,24,1,1.0,Alabama,College Stats
3,94,TAM,Alex Cappa,CappAl00,T,23,2018,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,,,,Humboldt St.,
3,95,SFO,Tarvarius Moore,MoorTa00,S,22,2018,0,0,0,1,1,16,0,0,0,0,0,0,0,0,0,0,0,20,,,Southern Miss,College Stats
3,96,BUF,Harrison Phillips,PhilHa00,DT,22,2018,0,0,0,2,2,16,0,0,0,0,0,0,0,0,0,0,0,20,,,Stanford,College Stats
3,97,ARI,Mason Cole,ColeMa02,C,22,2018,0,0,1,4,4,16,0,0,0,0,0,0,0,0,0,0,0,,,,Michigan,College Stats
3,98,HOU,Jordan Akins,AkinJo00,TE,26,2018,0,0,0,2,2,16,0,0,0,0,0,0,0,0,17,225,0,,,,Central Florida,College Stats
3,99,DEN,Isaac Yiadom,YiadIs00,CB,22,2018,0,0,0,1,1,13,0,0,0,0,0,0,0,0,0,0,0,17,1,,Boston Col.,College Stats
3,100,KAN,Dorian O'Daniel,ODanDo00,OLB,24,2018,0,0,0,2,2,16,0,0,0,0,0,0,0,0,0,0,0,21,,,Clemson,College Stats
4,101,CAR,Ian Thomas,ThomIa00,TE,22,2018,0,0,0,3,3,16,0,0,0,0,0,0,0,0,36,333,2,1,,,Indiana,College Stats
4,102,MIN,Jalyn Holmes,HolmJa01,DE,22,2018,0,0,0,1,1,5,0,0,0,0,0,0,0,0,0,0,0,3,,1.0,Ohio St.,College Stats
4,103,HOU,Keke Coutee,CoutKe00,WR,21,2018,0,0,0,2,2,6,0,0,0,0,0,3,0,0,28,287,1,,,,Texas Tech,College Stats
4,104,IND,Nyheim Hines,HineNy00,RB,21,2018,0,0,0,6,6,16,0,0,0,0,0,85,314,2,63,425,2,1,,,North Carolina St.,College Stats
4,105,CLE,Antonio Callaway,CallAn00,WR,21,2018,0,0,1,4,4,16,0,0,0,0,0,2,7,0,43,586,5,,,,Florida,College Stats
4,106,DEN,Josey Jewell,JeweJo00,ILB,23,2018,0,0,1,5,5,16,0,0,0,0,0,0,0,0,0,0,0,38,,,Iowa,College Stats
4,107,NYJ,Chris Herndon,HernCh00,TE,22,2018,0,0,1,4,4,16,0,0,0,0,0,0,0,0,39,502,4,,,,Miami (FL),College Stats
4,108,NYG,Kyle Lauletta,LaulKy00,QB,23,2018,0,0,0,0,0,2,0,5,0,0,1,1,-2,0,0,0,0,,,,Richmond,
4,109,WAS,Troy Apke,ApkeTr00,S,23,2018,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,,,Penn St.,College Stats
4,110,OAK,Nick Nelson,NelsNi00,CB,21,2018,0,0,0,1,1,10,0,0,0,0,0,0,0,0,0,0,0,10,,,Wisconsin,College Stats
