Rnd,Pick,Tm,Player,ID,Pos,Age,To,AP1,PB,St,CarAV,DrAV,G,PassCmp,PassAtt,PassYds,PassTD,PassInt,RushAtt,RushYds,RushTD,Rec,RecYds,RecTD,SoloTkl,Int,Sk,College/Univ,Year
6,197,GNB,Demetri Goodson,GoodDe00,DB,25,2016,0,0,0,2,2,26,0,0,0,0,0,0,0,0,0,0,0,18,,,Baylor,2014
6,198,NWE,Zach Moore,MoorZa00,DE,24,2018,0,0,0,3,1,26,0,0,0,0,0,0,0,0,0,0,0,8,,4.0,Concordia-St.Paul (MN),2014
6,199,SEA,Garrett Scott,ScotGa01,OL,22,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,Marshall,2014
6,200,KAN,Laurent Duvernay-Tardif,DuveLa00,OL,23,2018,0,0,3,21,21,46,0,0,0,0,0,0,0,0,0,0,0,,,,McGill,2014
6,201,SDG,Marion Grice,GricMa00,RB,23,2014,0,0,0,0,,10,0,1,0,0,0,15,41,1,7,29,0,,,,Arizona St.,2014
6,202,NOR,Tavon Rooks,RookTa00,OL,24,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,Kansas St.,2014
6,203,IND,Andrew Jackson,JackAn02,LB,22,2014,0,0,0,1,1,13,0,0,0,0,0,0,0,0,0,0,0,10,,1.0,Western Kentucky,2014
6,204,CAR,Tyler Gaffney,GaffTy00,RB,23,2014,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,,Stanford,2014
6,205,JAX,Luke Bowanko,BowaLu00,C,23,2018,0,0,1,8,5,46,0,0,0,0,0,0,0,0,0,0,0,1,,,Virginia,2014
6,206,NWE,Jemea Thomas,ThomJe03,DB,24,2014,0,0,0,0,,2,0,0,0,0,0,0,0,0,0,0,0,,,,Georgia Tech,2014
6,207,DEN,Matt Paradis,ParaMa00,OL,24,2018,0,0,4,21,21,57,0,0,0,0,0,0,0,0,0,0,0,,,,Boise St.,2014
6,208,SEA,Eric Pinkins,PinkEr00,DB,23,2016,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,,,,San Diego St.,2014
6,209,NYJ,Quincy Enunwa,EnunQu00,WR,22,2018,0,0,2,13,13,40,0,0,0,0,0,2,12,0,118,1621,5,,,,Nebraska,2014
6,210,NYJ,IK Enemkpali,EnemIK00,DT,23,2015,0,0,0,1,0,17,0,0,0,0,0,0,0,0,0,0,0,11,,,Louisiana Tech,2014
6,211,HOU,Jay Prosch,ProsJa00,FB,22,2017,0,0,0,0,0,63,0,0,0,0,0,10,42,0,6,61,0,1,,,Auburn,2014
6,212,CIN,Marquis Flowers,FlowMa00,LB,22,2018,0,0,0,6,3,53,0,0,0,0,0,0,0,0,0,0,0,31,,3.5,Arizona,2014
6,213,NYJ,Tajh Boyd,BoydTa00,QB,23,,0,0,0,,,,,,,,,,,,,,,,,,Clemson,2014
6,214,STL,Garrett Gilbert,GilbGa01,QB,23,2018,0,0,0,0,0,1,2,3,40,0,0,0,0,0,0,0,0,,,,SMU,2014
6,215,PIT,Daniel McCullers,McCuDa00,DT,22,2018,0,0,0,4,4,57,0,0,0,0,0,0,0,0,0,0,0,18,,2.5,Tennessee,2014
7,216,HOU,Andre Hal,HalxAn00,DB,22,2018,0,0,3,19,19,69,0,0,0,0,0,0,0,0,0,0,0,128,12,1.0,Vanderbilt,2014
7,217,WAS,Ted Bolser,BolsTe00,TE,23,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,Indiana,2014
7,218,BAL,Michael Campanaro,CampMi02,WR,23,2017,0,0,0,4,4,24,0,0,0,0,0,10,131,1,31,310,2,,,,Wake Forest,2014
7,219,OAK,T.J. Carrie,CarrTr00,DB,24,2018,0,0,3,17,13,76,0,0,0,0,0,0,0,0,0,0,0,226,4,1.0,Ohio,2014
7,220,MIN,Shamar Stephen,StepSh00,DT,23,2018,0,0,2,19,13,67,0,0,0,0,0,0,0,0,0,0,0,52,,3.0,Connecticut,2014
7,221,BUF,Randell Johnson,JohnRa01,LB,23,2016,0,0,0,2,2,16,0,0,0,0,0,0,0,0,0,0,0,1,,,Florida Atlantic,2014
7,222,JAX,Storm Johnson,JohnSt03,RB,22,2014,0,0,0,0,0,6,0,0,0,0,0,29,86,2,1,-4,0,,,,Central Florida,2014
7,223,MIN,Brandon Watts,WattBr00,LB,23,2015,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,3,,,Georgia Tech,2014
7,224,PHI,Beau Allen,AlleBe00,DT,22,2018,0,0,1,12,8,77,0,0,0,0,0,0,0,0,0,0,0,68,,2.0,Wisconsin,2014
7,225,MIN,Jabari Price,PricJa00,DB,21,2014,0,0,0,1,1,14,0,0,0,0,0,0,0,0,0,0,0,9,,,North Carolina,2014
7,226,STL,Mitchell Van Dyk,VanDMi00,OL,23,,0,0,0,,,,,,,,,,,,,,,,,,Portland St.,2014
7,227,SEA,Kiero Small,SmalKi00,RB,25,2014,0,0,0,0,,3,0,0,0,0,0,0,0,0,0,0,0,,,,Arkansas,2014
7,228,WAS,Zach Hocker,HockZa00,K,23,2015,0,0,0,0,,8,0,0,0,0,0,0,0,0,0,0,0,,,,Arkansas,2014
7,229,DET,Nate Freese,FreeNa00,K,24,2014,0,0,0,-1,-1,3,0,0,0,0,0,0,0,0,0,0,0,,,,Boston Col.,2014
7,230,PIT,Rob Blanchflower,BlanRo01,TE,24,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,Massachusetts,2014
7,231,DAL,Ben Gardner,GardBe00,DE,24,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,Stanford,2014
